82900,47,Sittwe,92.972778,20.843889,"20? 50' 38""",Rakhine,,0,82900,92.972778,20.843889,POINT,(92.97277800000001,20.843889),36495,11255,6813,975,4977,355,584,13.6374845869,,
56682,48,Sittwe,92.367778,20.818889,"20? 49' 08""",Rakhine,,0,56682,92.367778,20.818889,POINT,(92.367778,20.818889),7896,2096,2246,276,2537,298,361,32.1301925025,,
102612,49,Sittwe,93.272778,20.364444,"20? 21' 52""",Rakhine,,0,102612,93.272778,20.364444,POINT,(93.272778,20.364444),36628,8927,5709,743,3271,253,408,8.9303265262,,
51949,50,Sittwe,93.188333,20.591944,"20? 35' 31""",Rakhine,,0,51949,93.188333,20.591944,POINT,(93.188333,20.591944),41525,11303,7258,1004,4070,343,481,9.8013245033,,
49804,51,Sittwe,93.721389,18.855,"18? 51' 18""",Rakhine,,0,49804,93.721389,18.855,POINT,(93.721389,18.855),14735,5446,2868,331,2405,117,127,16.3216830675,,
14826,52,Sittwe,93.373889,20.046667,"20? 02' 48""",Rakhine,,0,14826,93.373889,20.046667,POINT,(93.37388900000001,20.046667),31339,9612,5296,569,2496,219,358,7.9645170554,,
18576,53,Sittwe,93.068056,20.181111,"20? 10' 52""",Rakhine,,0,18576,93.068056,20.181111,POINT,(93.068056,20.181111),30544,7341,4080,595,2285,100,180,7.4810110005,,
10824,54,Sittwe,93.004167,20.331944,"20? 19' 55""",Rakhine,,0,10824,93.004167,20.331944,POINT,(93.004167,20.331944),25335,6581,3673,521,2149,108,153,8.4823366884,,
63716,55,Sittwe,93.858889,19.087778,"19? 05' 16""",Rakhine,,0,63716,93.858889,19.087778,POINT,(93.858889,19.087778),22418,6745,1705,233,1979,108,173,8.8277277188,,
29272,56,Sittwe,92.754167,20.488333,"20? 29' 18""",Rakhine,,0,29272,92.754167,20.488333,POINT,(92.754167,20.488333),24341,7399,4000,994,3679,225,277,15.1144160059,,
56941,57,Sittwe,94.360833,18.461111,"18? 27' 40""",Rakhine,,0,56941,94.360833,18.461111,POINT,(94.360833,18.461111),31075,14890,11746,1223,8705,544,1910,28.0128720837,,
29112,58,Sittwe,94.239722,18.853611,"18? 51' 13""",Rakhine,,0,29112,94.239722,18.853611,POINT,(94.239722,18.853611),35192,13717,9744,1237,6101,367,851,17.3363264378,,
(South),59,Taunggyi,7,150961,"20? 46' 29""",Shan,Shan,State,(South),7,150961,97.036111,20.774722,POINT,(97.03611100000001,20.774722),94869,32301,68277,6981,50760,6796,9960,53.5053600228
16764,60,Taunggyi,97.170278,20.7975,"20? 47' 51""",Shan,,0,16764,97.170278,20.7975,POINT,(97.170278,20.7975),24728,5083,11272,799,5192,358,631,20.9964412811,,
10168,61,Taunggyi,97.250556,20.157778,"20? 09' 28""",Shan,,0,10168,97.250556,20.157778,POINT,(97.250556,20.157778),32771,8087,16568,1042,4755,325,580,14.5097799884,,
